                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                0.69171,                0.56485,                0.96349,                0.64619,                0.52968,                0.57477,                0.42661,                0.95368,                 1.1792,                 1.1834,             0.00048427,             0.00048427,             0.00048427
                     68,                0.68195,                0.56673,                 0.9677,                0.64437,                0.54508,                0.58701,                0.43375,                0.95612,                  1.186,                 1.1854,             0.00048074,             0.00048074,             0.00048074
                     69,                0.68082,                0.55533,                0.96047,                0.66235,                0.53448,                0.57412,                0.42637,                0.94814,                  1.197,                 1.1809,              0.0004772,              0.0004772,              0.0004772
                     70,                0.68517,                0.56344,                0.96536,                0.62826,                0.55001,                0.58407,                0.43483,                0.94901,                 1.1411,                 1.1798,             0.00047367,             0.00047367,             0.00047367
                     71,                0.68642,                0.55962,                0.96662,                0.64724,                0.51566,                0.57601,                0.42994,                  0.948,                 1.2095,                 1.1891,             0.00047013,             0.00047013,             0.00047013
                     72,                0.67127,                0.54615,                0.95895,                0.67891,                0.52786,                0.58747,                0.43144,                0.93984,                 1.1741,                 1.1728,              0.0004666,              0.0004666,              0.0004666
                     73,                0.66948,                0.53711,                0.95497,                0.67217,                0.51357,                0.57742,                0.42437,                0.94737,                 1.2212,                 1.1835,             0.00046306,             0.00046306,             0.00046306
                     74,                0.67828,                0.54395,                0.94857,                 0.6647,                 0.5391,                0.57497,                0.42456,                0.94722,                   1.18,                 1.1791,             0.00045953,             0.00045953,             0.00045953
                     75,                0.66499,                0.53989,                0.95869,                0.65142,                0.54325,                0.58527,                0.43225,                0.94391,                 1.2611,                 1.1793,               0.000456,               0.000456,               0.000456
                     76,                0.66659,                0.53815,                0.94759,                0.61931,                  0.558,                0.58012,                0.42786,                 0.9448,                 1.1804,                 1.1851,             0.00045246,             0.00045246,             0.00045246
                     77,                0.65572,                0.53097,                0.95086,                0.64768,                0.50829,                0.56447,                0.41876,                0.95745,                 1.3161,                 1.1956,             0.00044893,             0.00044893,             0.00044893
                     78,                0.65606,                0.53131,                0.95113,                0.66401,                0.53303,                0.58949,                0.43541,                0.94393,                 1.1797,                  1.174,             0.00044539,             0.00044539,             0.00044539
                     79,                0.66116,                0.52135,                0.94786,                0.67049,                0.53152,                0.59626,                0.43912,                 0.9444,                 1.1847,                 1.1761,             0.00044186,             0.00044186,             0.00044186
                     80,                0.65609,                0.51926,                0.94868,                0.63251,                0.52711,                0.56738,                0.41789,                 0.9342,                 1.1915,                 1.1745,             0.00043832,             0.00043832,             0.00043832
                     81,                0.64285,                0.50905,                0.94262,                0.59916,                0.57458,                0.58493,                0.43376,                0.94471,                 1.1548,                 1.1835,             0.00043479,             0.00043479,             0.00043479
                     82,                0.66181,                0.53086,                0.94875,                 0.6252,                0.54728,                0.57456,                0.42764,                0.93342,                 1.1743,                 1.1715,             0.00043126,             0.00043126,             0.00043126
                     83,                0.65759,                0.52234,                0.94517,                0.63587,                0.55039,                0.57806,                0.43337,                0.93885,                 1.2143,                  1.174,             0.00042772,             0.00042772,             0.00042772
                     84,                0.65211,                0.51053,                0.94781,                0.63511,                0.55564,                0.58456,                0.43204,                0.94232,                 1.2305,                   1.18,             0.00042419,             0.00042419,             0.00042419
                     85,                0.65196,                0.51577,                0.94857,                0.64472,                0.52112,                0.57013,                0.42622,                0.94385,                 1.2382,                  1.173,             0.00042065,             0.00042065,             0.00042065
