                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                0.71859,                 0.5681,                0.92508,                0.59075,                0.45385,                0.47939,                0.33182,                 1.0943,                 1.4525,                 1.1893,             0.00039827,             0.00039827,             0.00039827
                     70,                0.75512,                0.57728,                0.94022,                 0.5877,                0.43661,                0.48536,                0.34935,                 1.0715,                 1.4075,                 1.1789,             0.00039356,             0.00039356,             0.00039356
                     71,                0.72592,                0.58179,                0.93291,                0.66792,                0.41139,                0.47319,                0.34924,                 1.0735,                 1.3782,                 1.1792,             0.00038884,             0.00038884,             0.00038884
                     72,                0.71991,                0.57209,                0.93075,                0.56481,                0.45058,                0.48323,                0.35594,                 1.0721,                 1.3808,                 1.1794,             0.00038413,             0.00038413,             0.00038413
                     73,                0.70907,                0.56441,                0.93293,                0.58246,                0.45702,                0.49027,                 0.3552,                 1.0795,                 1.4426,                 1.2031,             0.00037942,             0.00037942,             0.00037942
                     74,                0.72459,                0.55039,                0.92953,                0.64117,                0.43477,                0.47511,                0.33135,                  1.112,                 1.5756,                 1.2151,             0.00037471,             0.00037471,             0.00037471
                     75,                0.71202,                0.53478,                0.93369,                0.55809,                 0.4813,                0.49432,                 0.3457,                 1.0863,                 1.4543,                 1.1904,             0.00036999,             0.00036999,             0.00036999
                     76,                0.69527,                0.53096,                0.91841,                0.49058,                0.48242,                0.47235,                 0.3413,                 1.0978,                 1.4483,                 1.1961,             0.00036528,             0.00036528,             0.00036528
                     77,                0.72857,                0.55397,                 0.9272,                0.59676,                0.43221,                 0.4849,                0.34292,                 1.0865,                 1.3896,                  1.186,             0.00036057,             0.00036057,             0.00036057
                     78,                0.69503,                0.52592,                0.91818,                0.53672,                0.48567,                0.48801,                0.34208,                 1.0804,                 1.3605,                 1.1854,             0.00035586,             0.00035586,             0.00035586
                     79,                0.72345,                0.55376,                0.94365,                 0.5839,                0.44289,                0.49775,                0.35148,                 1.0744,                 1.3789,                 1.1811,             0.00035115,             0.00035115,             0.00035115
                     80,                0.71413,                0.53611,                0.91366,                0.72231,                0.44631,                0.54013,                0.35698,                 1.1039,                 1.4526,                 1.1978,             0.00034643,             0.00034643,             0.00034643
                     81,                0.70472,                 0.5383,                0.92756,                0.61121,                0.50441,                0.54717,                0.36437,                  1.094,                 1.4173,                 1.1955,             0.00034172,             0.00034172,             0.00034172
                     82,                0.68268,                0.52829,                0.92028,                0.63155,                0.45812,                0.51952,                0.36059,                 1.0842,                 1.3909,                 1.1883,             0.00033701,             0.00033701,             0.00033701
                     83,                0.67644,                0.53044,                0.92354,                0.57633,                0.43329,                0.47571,                0.34855,                 1.0913,                 1.3958,                 1.1911,              0.0003323,              0.0003323,              0.0003323
                     84,                0.67588,                0.54465,                0.92173,                0.56187,                0.43314,                0.46611,                0.34167,                 1.0868,                 1.4411,                 1.1957,             0.00032758,             0.00032758,             0.00032758
                     85,                0.68011,                0.52987,                0.91471,                0.59207,                0.48222,                0.48996,                0.34111,                 1.0834,                 1.4565,                 1.1985,             0.00032287,             0.00032287,             0.00032287
                     86,                0.66244,                0.51401,                0.91375,                0.63709,                0.48086,                0.49549,                0.33997,                 1.0909,                 1.5123,                 1.1986,             0.00031816,             0.00031816,             0.00031816
                     87,                0.67526,                0.51394,                 0.9162,                0.63586,                 0.4577,                0.49658,                0.34764,                  1.106,                 1.5514,                  1.208,             0.00031345,             0.00031345,             0.00031345
                     88,                 0.6461,                0.50041,                0.91069,                0.65931,                 0.4399,                0.48603,                0.33564,                 1.0934,                 1.4373,                 1.1985,             0.00030873,             0.00030873,             0.00030873
                     89,                0.68398,                0.51231,                0.91301,                0.63039,                0.47382,                0.48578,                0.33905,                 1.0791,                 1.3637,                 1.1908,             0.00030402,             0.00030402,             0.00030402
                     90,                0.66598,                0.50729,                0.91132,                0.52547,                 0.4655,                0.45042,                0.32366,                 1.0706,                 1.3453,                 1.1864,             0.00029931,             0.00029931,             0.00029931
                     91,                0.67491,                0.52749,                0.92486,                 0.5021,                0.46316,                0.44076,                0.32893,                 1.0727,                 1.3762,                 1.1878,              0.0002946,              0.0002946,              0.0002946
                     92,                0.66925,                0.51055,                0.91579,                 0.5778,                0.43241,                0.47277,                0.33386,                 1.0836,                 1.4664,                 1.1932,             0.00028988,             0.00028988,             0.00028988
                     93,                0.65559,                0.50673,                 0.9128,                0.59525,                0.45312,                0.47949,                0.34217,                 1.1085,                 1.5533,                 1.2065,             0.00028517,             0.00028517,             0.00028517
                     94,                0.66727,                0.50282,                0.90983,                0.65148,                0.46351,                0.50768,                0.35258,                 1.0877,                 1.4535,                 1.2004,             0.00028046,             0.00028046,             0.00028046
                     95,                0.63264,                0.50556,                0.90903,                0.64533,                0.45296,                0.49304,                0.34761,                 1.0972,                 1.4362,                 1.2039,             0.00027575,             0.00027575,             0.00027575
                     96,                0.64597,                0.49863,                0.90656,                0.64341,                0.43314,                0.47306,                 0.3437,                 1.1074,                 1.4225,                 1.2038,             0.00027103,             0.00027103,             0.00027103
                     97,                0.65149,                 0.4965,                0.90616,                0.60544,                0.45275,                0.47278,                0.34581,                 1.0944,                 1.4371,                 1.1969,             0.00026632,             0.00026632,             0.00026632
                     98,                0.64759,                0.49472,                 0.9122,                0.61129,                0.44537,                0.49677,                0.34947,                 1.0849,                 1.4406,                 1.1913,             0.00026161,             0.00026161,             0.00026161
                     99,                0.63291,                0.48689,                  0.911,                0.59585,                0.44025,                0.47945,                0.35516,                 1.0873,                 1.4398,                 1.1965,              0.0002569,              0.0002569,              0.0002569
                    100,                0.62836,                 0.4852,                0.91212,                0.59677,                0.43885,                0.46198,                0.34261,                  1.098,                 1.4351,                 1.2038,             0.00025218,             0.00025218,             0.00025218
                    101,                0.64154,                0.49318,                0.90471,                0.56728,                0.46721,                0.47057,                0.33983,                 1.0997,                 1.4075,                 1.2087,             0.00024747,             0.00024747,             0.00024747
                    102,                0.64219,                0.48337,                0.90188,                0.70305,                0.40497,                0.46207,                  0.331,                 1.0922,                 1.4028,                  1.209,             0.00024276,             0.00024276,             0.00024276
                    103,                0.65337,                 0.5004,                 0.9164,                0.55391,                0.46694,                0.47483,                0.34091,                 1.0873,                 1.3906,                  1.204,             0.00023805,             0.00023805,             0.00023805
                    104,                  0.624,                0.47526,                0.90921,                 0.6838,                 0.4245,                0.48689,                0.35148,                 1.0801,                 1.3564,                  1.195,             0.00023334,             0.00023334,             0.00023334
                    105,                0.65013,                0.48084,                0.89298,                0.62754,                0.45729,                 0.4788,                0.35302,                 1.0711,                 1.3406,                 1.1876,             0.00022862,             0.00022862,             0.00022862
                    106,                0.62818,                 0.4718,                0.90277,                0.53955,                0.46328,                0.47517,                0.35015,                 1.0662,                 1.3157,                 1.1869,             0.00022391,             0.00022391,             0.00022391
                    107,                0.62497,                0.46212,                0.89859,                0.61607,                0.42518,                0.47901,                0.34673,                 1.0633,                 1.3272,                 1.1846,              0.0002192,              0.0002192,              0.0002192
                    108,                0.60491,                0.45588,                0.88787,                0.52306,                0.46939,                0.48753,                 0.3515,                 1.0784,                 1.3867,                 1.1922,             0.00021449,             0.00021449,             0.00021449
                    109,                0.64754,                 0.4731,                 0.8965,                0.56986,                0.44074,                0.48161,                0.34858,                  1.083,                 1.4133,                 1.1942,             0.00020977,             0.00020977,             0.00020977
                    110,                0.62175,                0.45869,                0.88644,                0.74216,                0.40791,                0.49535,                0.34822,                 1.0777,                 1.4076,                 1.1917,             0.00020506,             0.00020506,             0.00020506
                    111,                0.59384,                 0.4446,                0.89359,                0.57488,                0.46576,                0.49744,                0.35422,                 1.0761,                 1.4037,                 1.1924,             0.00020035,             0.00020035,             0.00020035
                    112,                0.61924,                0.47037,                0.89711,                0.59105,                0.47794,                 0.4954,                0.35648,                 1.0641,                 1.4085,                 1.1831,             0.00019564,             0.00019564,             0.00019564
                    113,                0.61478,                0.45644,                0.88853,                0.58548,                0.45867,                0.49797,                0.35938,                 1.0674,                  1.448,                 1.1854,             0.00019092,             0.00019092,             0.00019092
                    114,                0.62149,                 0.4599,                0.88797,                0.61076,                0.46059,                0.50494,                0.36116,                 1.0552,                 1.4243,                 1.1749,             0.00018621,             0.00018621,             0.00018621
                    115,                 0.6275,                0.45904,                0.88987,                0.59995,                0.47479,                 0.4988,                0.36369,                   1.05,                 1.4167,                 1.1743,              0.0001815,              0.0001815,              0.0001815
                    116,                0.62227,                0.46954,                0.89401,                0.69524,                0.43127,                 0.5089,                0.35961,                 1.0541,                 1.4368,                 1.1763,             0.00017679,             0.00017679,             0.00017679
                    117,                 0.6373,                0.48334,                0.90164,                0.68646,                0.46279,                0.52025,                0.35972,                 1.0598,                 1.4535,                 1.1805,             0.00017207,             0.00017207,             0.00017207
                    118,                0.60452,                0.44697,                0.89907,                0.63493,                0.47533,                0.51406,                0.36033,                  1.066,                 1.4971,                 1.1876,             0.00016736,             0.00016736,             0.00016736
                    119,                 0.6201,                0.45151,                0.88708,                0.62994,                 0.4741,                0.51608,                0.36425,                 1.0709,                 1.4862,                 1.1957,             0.00016265,             0.00016265,             0.00016265
                    120,                0.60532,                0.45079,                0.88582,                0.57515,                0.49196,                0.48865,                0.35379,                 1.0749,                 1.5163,                 1.1971,             0.00015794,             0.00015794,             0.00015794
                    121,                0.61202,                 0.4658,                0.89116,                0.57675,                0.48809,                0.49189,                0.35373,                 1.0757,                 1.5603,                  1.199,             0.00015322,             0.00015322,             0.00015322
                    122,                0.60128,                0.44655,                0.89722,                0.58102,                0.49008,                 0.4991,                0.35659,                 1.0724,                 1.6126,                 1.1926,             0.00014851,             0.00014851,             0.00014851
                    123,                0.59927,                0.44375,                0.89316,                0.64558,                0.43392,                0.49704,                 0.3549,                 1.0665,                  1.567,                 1.1892,              0.0001438,              0.0001438,              0.0001438
                    124,                0.58121,                0.44178,                0.88392,                0.62515,                0.48726,                0.52232,                0.35436,                 1.0616,                 1.5165,                 1.1867,             0.00013909,             0.00013909,             0.00013909
                    125,                0.59267,                0.43347,                0.88666,                0.62785,                0.48506,                0.51791,                0.35323,                 1.0634,                 1.4782,                 1.1847,             0.00013437,             0.00013437,             0.00013437
                    126,                 0.5916,                0.43675,                0.88811,                 0.5679,                0.45247,                0.49127,                0.35373,                 1.0756,                 1.4675,                 1.1934,             0.00012966,             0.00012966,             0.00012966
                    127,                0.56386,                 0.4328,                0.88011,                0.54737,                0.46541,                0.48893,                0.35448,                 1.0704,                 1.4618,                 1.1912,             0.00012495,             0.00012495,             0.00012495
                    128,                0.59825,                0.43465,                0.88367,                0.54349,                0.48327,                0.48947,                0.35395,                 1.0717,                 1.4834,                 1.1914,             0.00012024,             0.00012024,             0.00012024
                    129,                0.57434,                0.43248,                0.88178,                0.52959,                0.48832,                0.48438,                0.35195,                  1.081,                 1.4926,                 1.1975,             0.00011553,             0.00011553,             0.00011553
                    130,                0.56289,                0.41838,                0.88395,                0.59826,                0.43603,                0.47981,                0.35374,                 1.0764,                 1.4726,                 1.1922,             0.00011081,             0.00011081,             0.00011081
                    131,                 0.5965,                0.43129,                0.88695,                0.54534,                 0.4469,                0.47517,                0.35417,                 1.0691,                 1.4446,                  1.187,              0.0001061,              0.0001061,              0.0001061
