                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     82,                0.85579,                0.81459,                0.98618,                0.51694,                0.52744,                0.50284,                0.34986,                 1.1052,                 1.3374,                 1.1771,               0.000208,               0.000208,               0.000208
                     83,                0.87784,                0.82571,                0.99239,                0.54941,                0.49018,                0.49977,                 0.3483,                 1.1125,                 1.3392,                  1.183,              0.0001981,              0.0001981,              0.0001981
                     84,                0.85122,                0.81698,                0.98524,                0.53609,                 0.4899,                0.48927,                 0.3368,                 1.1124,                 1.3561,                 1.1863,              0.0001882,              0.0001882,              0.0001882
                     85,                0.86156,                0.80722,                0.98062,                0.46414,                0.48775,                0.47766,                0.33288,                 1.1103,                 1.3554,                 1.1819,              0.0001783,              0.0001783,              0.0001783
                     86,                0.88034,                 0.8523,                  1.008,                0.44678,                 0.5279,                0.48449,                0.33906,                 1.1031,                 1.3162,                 1.1764,              0.0001684,              0.0001684,              0.0001684
                     87,                0.84568,                  0.799,                0.98858,                0.52416,                0.54862,                0.51601,                0.35739,                  1.097,                 1.3055,                 1.1758,              0.0001585,              0.0001585,              0.0001585
                     88,                0.85343,                0.80865,                0.98643,                0.58369,                0.51865,                0.52277,                0.35466,                 1.0961,                 1.3203,                 1.1744,              0.0001486,              0.0001486,              0.0001486
                     89,                 0.8399,                0.80102,                0.99218,                0.67548,                 0.4594,                0.52509,                0.35573,                 1.0942,                 1.3304,                 1.1741,              0.0001387,              0.0001387,              0.0001387
                     90,                0.85707,                0.80843,                0.98793,                0.70694,                0.45729,                0.53033,                 0.3617,                 1.0965,                 1.3222,                 1.1747,              0.0001288,              0.0001288,              0.0001288
                     91,                0.87561,                0.96023,                 1.0016,                 0.6903,                0.43516,                0.51422,                0.35331,                 1.1081,                 1.3426,                 1.1785,              0.0001189,              0.0001189,              0.0001189
                     92,                0.85464,                0.91433,                0.99856,                0.66792,                0.43671,                0.50314,                0.34658,                 1.1297,                 1.4302,                 1.1953,               0.000109,               0.000109,               0.000109
                     93,                0.83855,                 0.8571,                0.98338,                0.54402,                0.44316,                 0.4779,                0.34228,                 1.1361,                 1.4872,                 1.2046,               9.91e-05,               9.91e-05,               9.91e-05
                     94,                0.83331,                0.88769,                0.99071,                0.49972,                0.50907,                0.47368,                0.34094,                 1.1201,                 1.4342,                 1.1949,               8.92e-05,               8.92e-05,               8.92e-05
                     95,                0.82926,                0.83895,                0.98428,                0.50022,                0.52959,                0.48273,                0.34714,                 1.1068,                 1.3714,                 1.1878,               7.93e-05,               7.93e-05,               7.93e-05
                     96,                0.80617,                0.81676,                0.98619,                0.59663,                0.49496,                0.52835,                 0.3624,                 1.0954,                 1.3208,                 1.1772,               6.94e-05,               6.94e-05,               6.94e-05
                     97,                0.80137,                0.79304,                 0.9682,                0.71869,                0.44474,                0.51764,                0.35764,                 1.0954,                 1.3209,                 1.1765,               5.95e-05,               5.95e-05,               5.95e-05
                     98,                 0.8073,                0.79836,                0.97313,                0.66666,                0.47434,                0.51271,                0.35434,                 1.0975,                 1.3355,                 1.1756,               4.96e-05,               4.96e-05,               4.96e-05
                     99,                0.81383,                0.80119,                0.97833,                0.55827,                0.51134,                0.50176,                0.34849,                 1.1001,                 1.3419,                 1.1765,               3.97e-05,               3.97e-05,               3.97e-05
                    100,                0.81312,                0.79708,                0.98599,                0.55843,                0.52168,                0.50584,                0.35222,                 1.0963,                 1.3424,                 1.1745,               2.98e-05,               2.98e-05,               2.98e-05
