                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                 1.6366,                 3.0392,                  1.748,                 1.5769,                0.48896,                0.42168,                0.13386,                0.06084,                0.48548,                 0.3958,                0.12098,                0.05032,                 2.1656,                 4.8328,                 3.8968,                 2.3122,              0.0017162,              0.0017162,              0.0017162
                     46,                 1.7663,                 3.2018,                 1.8433,                 1.6607,                0.60481,                0.20029,                0.31336,                 0.1276,                0.60481,                0.20029,                0.21342,                0.09049,                 2.0369,                  4.569,                 3.5481,                 2.1896,              0.0017096,              0.0017096,              0.0017096
                     47,                 1.7183,                 2.9929,                 1.8298,                 1.6746,                0.60481,                0.20029,                0.31336,                 0.1276,                0.60481,                0.20029,                0.21342,                0.09049,                 2.0369,                  4.569,                 3.5481,                 2.1896,               0.001703,               0.001703,               0.001703
                     48,                 1.6394,                 2.9244,                 1.8141,                 1.6055,                0.55712,                0.37762,                 0.3268,                0.15963,                 0.3636,                0.39612,                 0.2982,                0.12599,                 1.8492,                 4.3333,                 2.9253,                 2.0445,              0.0016964,              0.0016964,              0.0016964
                     49,                  1.725,                 3.1512,                  1.999,                 1.6337,                 0.4232,                 0.3391,                0.37796,                0.19227,                0.39319,                0.30829,                0.32645,                0.14411,                 1.9323,                 4.2435,                  2.703,                 2.0986,              0.0016898,              0.0016898,              0.0016898
                     50,                 1.6478,                 3.0665,                 1.8037,                 1.5782,                0.49002,                0.31647,                0.36916,                0.17836,                 0.8793,                0.23846,                0.33944,                0.12463,                 1.8744,                 4.1617,                 2.7098,                 2.0402,              0.0016832,              0.0016832,              0.0016832
                     51,                 1.7319,                 2.9908,                 1.8214,                 1.6425,                0.49002,                0.31647,                0.36916,                0.17836,                 0.8793,                0.23846,                0.33944,                0.12463,                 1.8744,                 4.1617,                 2.7098,                 2.0402,              0.0016766,              0.0016766,              0.0016766
                     52,                 1.7662,                 3.1422,                 1.9777,                 1.6679,                0.41612,                0.32012,                0.28368,                0.16852,                0.43968,                0.32012,                0.26829,                0.11145,                 1.8249,                 4.4995,                 2.7226,                 2.0057,                0.00167,                0.00167,                0.00167
                     53,                 1.7231,                 3.1104,                 1.8592,                 1.5759,                0.69325,                0.27607,                0.30642,                0.20095,                0.69325,                0.27607,                0.29686,                0.12838,                  1.794,                 4.5915,                 2.8233,                  2.007,              0.0016634,              0.0016634,              0.0016634
                     54,                 1.5507,                  2.833,                 1.7267,                 1.5318,                0.58244,                0.38966,                0.39086,                0.23308,                0.62083,                0.34514,                  0.366,                0.18639,                 1.7294,                 4.4354,                  2.787,                 1.9375,              0.0016568,              0.0016568,              0.0016568
                     55,                 1.5992,                 3.0092,                 1.8797,                 1.6117,                0.58244,                0.38966,                0.39086,                0.23308,                0.62083,                0.34514,                  0.366,                0.18639,                 1.7294,                 4.4354,                  2.787,                 1.9375,              0.0016502,              0.0016502,              0.0016502
                     56,                 1.6237,                  2.895,                 1.7045,                 1.5522,                0.60129,                0.40264,                0.40681,                0.23823,                 0.5889,                 0.3714,                0.39907,                0.19044,                 1.7974,                 4.4837,                 2.7566,                 2.0092,              0.0016436,              0.0016436,              0.0016436
                     57,                 1.5855,                 3.1337,                 1.9376,                 1.5841,                0.40434,                0.41242,                0.41187,                0.21293,                0.40083,                0.46353,                0.40169,                0.18519,                 1.7857,                 4.4992,                 2.7672,                 2.0187,               0.001637,               0.001637,               0.001637
                     58,                 1.6264,                 3.1729,                 1.8659,                  1.607,                0.45309,                0.46267,                0.43454,                0.22463,                0.43278,                0.43062,                 0.3923,                 0.1968,                 1.8017,                 4.5354,                 2.6968,                 2.0378,              0.0016304,              0.0016304,              0.0016304
                     59,                 1.6691,                 3.1018,                 1.9325,                 1.6212,                0.45309,                0.46267,                0.43454,                0.22463,                0.43278,                0.43062,                 0.3923,                 0.1968,                 1.8017,                 4.5354,                 2.6968,                 2.0378,              0.0016238,              0.0016238,              0.0016238
                     60,                 1.5405,                 2.9762,                 1.5837,                 1.5049,                0.45125,                0.40287,                0.35028,                0.18894,                0.40418,                0.32805,                0.28146,                0.13712,                 1.8691,                 4.8666,                 2.7493,                  2.085,              0.0016172,              0.0016172,              0.0016172
                     61,                 1.5384,                 2.9173,                 1.6592,                 1.6156,                0.56864,                0.30319,                0.27984,                0.17717,                0.54812,                0.25803,                0.22369,                0.10743,                  1.942,                 4.7618,                  2.929,                 2.1518,              0.0016106,              0.0016106,              0.0016106
                     62,                 1.5367,                 2.9392,                 1.6618,                 1.5208,                0.84371,                0.22826,                0.33815,                0.18833,                0.81595,                0.20734,                0.25432,                0.11775,                 1.9202,                  4.547,                 2.8519,                 2.1294,               0.001604,               0.001604,               0.001604
                     63,                 1.4793,                 2.6547,                  1.542,                 1.4774,                0.84371,                0.22826,                0.33815,                0.18833,                0.81595,                0.20734,                0.25432,                0.11775,                 1.9202,                  4.547,                 2.8519,                 2.1294,              0.0015974,              0.0015974,              0.0015974
                     64,                 1.6106,                 3.0667,                 1.8661,                  1.569,                0.85735,                 0.1951,                0.35485,                0.18011,                0.83559,                0.17203,                0.26105,                0.12544,                 1.9937,                 4.5631,                  2.694,                 2.2274,              0.0015908,              0.0015908,              0.0015908
                     65,                 1.6029,                 2.9519,                 1.7384,                 1.5612,                0.51838,                0.47241,                0.42555,                 0.2267,                0.46722,                 0.3531,                0.32408,                0.14227,                 1.9778,                 4.5818,                 2.6159,                 2.2367,              0.0015842,              0.0015842,              0.0015842
                     66,                 1.5305,                 2.8241,                 1.7516,                 1.5012,                 0.8486,                 0.2634,                0.41964,                0.21437,                 0.8486,                 0.2634,                0.35708,                0.11898,                 1.8966,                 4.5691,                 2.6482,                 2.1526,              0.0015776,              0.0015776,              0.0015776
                     67,                  1.536,                 3.0025,                 1.6533,                 1.4817,                 0.8486,                 0.2634,                0.41964,                0.21437,                 0.8486,                 0.2634,                0.35708,                0.11898,                 1.8966,                 4.5691,                 2.6482,                 2.1526,               0.001571,               0.001571,               0.001571
                     68,                 1.6518,                 3.0951,                 1.7896,                 1.6428,                0.15781,                0.42448,                0.26874,                 0.1189,                0.54243,                0.25728,                0.18251,                0.05934,                  1.981,                 4.6211,                 2.7441,                 2.2254,              0.0015644,              0.0015644,              0.0015644
                     69,                 1.6053,                 2.9461,                 1.7167,                 1.5636,                0.22432,                0.52701,                0.28351,                0.11889,                0.17286,                0.36931,                0.19341,                0.06695,                 2.0133,                  4.672,                 2.8099,                 2.2183,              0.0015578,              0.0015578,              0.0015578
                     70,                 1.6296,                 2.9737,                 1.8209,                 1.6355,                0.21893,                0.62813,                0.34695,                0.15038,                0.20271,                0.57629,                0.29283,                0.10604,                 1.9596,                 4.3674,                  2.515,                 2.1575,              0.0015512,              0.0015512,              0.0015512
                     71,                 1.6315,                 2.9435,                 1.7414,                 1.5725,                0.21893,                0.62813,                0.34695,                0.15038,                0.20271,                0.57629,                0.29283,                0.10604,                 1.9596,                 4.3674,                  2.515,                 2.1575,              0.0015446,              0.0015446,              0.0015446
                     72,                 1.6276,                 2.8831,                 1.7376,                 1.5864,                0.25717,                0.27578,                0.32334,                0.15226,                0.44851,                0.20862,                0.28786,                0.11796,                 1.9686,                 4.1771,                 2.3606,                 2.1443,               0.001538,               0.001538,               0.001538
                     73,                 1.5813,                  2.691,                 1.8248,                 1.5409,                0.31575,                0.34328,                0.34415,                0.15698,                0.68452,                0.33939,                0.40778,                0.12809,                 1.9382,                 4.1129,                 2.2034,                 2.1332,              0.0015314,              0.0015314,              0.0015314
                     74,                 1.5679,                 2.9181,                 1.6525,                 1.5007,                0.33008,                0.43364,                0.37394,                0.17445,                 0.3994,                0.40777,                0.40886,                0.14914,                 1.8973,                 4.0776,                 2.1174,                 2.1242,              0.0015248,              0.0015248,              0.0015248
                     75,                 1.5843,                 2.9358,                 1.6216,                 1.5814,                0.33008,                0.43364,                0.37394,                0.17445,                 0.3994,                0.40777,                0.40886,                0.14914,                 1.8973,                 4.0776,                 2.1174,                 2.1242,              0.0015182,              0.0015182,              0.0015182
                     76,                 1.6886,                 2.9329,                 1.7213,                 1.5871,                0.78594,                0.31888,                0.42405,                0.22911,                0.36309,                0.40777,                0.39374,                0.17499,                 1.8759,                 3.9899,                 2.3657,                 2.1268,              0.0015116,              0.0015116,              0.0015116
                     77,                  1.563,                 2.9638,                 1.6776,                 1.5762,                0.75474,                0.30537,                0.43324,                0.22833,                0.75979,                0.29301,                0.39196,                0.17143,                 1.8478,                 4.0371,                 2.4829,                 2.1105,               0.001505,               0.001505,               0.001505
                     78,                 1.4916,                 2.7336,                 1.6029,                  1.505,                0.76053,                0.30839,                0.48005,                0.24856,                0.76053,                0.30839,                0.42757,                 0.1666,                 1.8119,                 4.1434,                 2.1681,                 2.1063,              0.0014984,              0.0014984,              0.0014984
                     79,                 1.4488,                 2.8687,                 1.3779,                 1.4394,                0.76053,                0.30839,                0.48005,                0.24856,                0.76053,                0.30839,                0.42757,                 0.1666,                 1.8119,                 4.1434,                 2.1681,                 2.1063,              0.0014918,              0.0014918,              0.0014918
                     80,                 1.5172,                 2.7718,                 1.5557,                 1.5508,                0.74871,                0.44484,                0.53322,                  0.257,                0.74871,                0.44484,                0.44997,                0.17436,                 1.8518,                 4.2121,                 2.0774,                 2.1455,              0.0014852,              0.0014852,              0.0014852
                     81,                 1.5585,                 2.9293,                 1.6849,                 1.5451,                0.57659,                0.31888,                0.41447,                0.18469,                 0.5952,                0.33341,                0.33999,                0.14528,                 1.8953,                 4.2027,                 2.0701,                 2.1313,              0.0014786,              0.0014786,              0.0014786
                     82,                 1.3973,                 2.5821,                 1.4553,                 1.4685,                0.63841,                 0.3411,                0.41659,                0.18375,                0.62972,                0.33341,                0.35285,                0.15239,                 1.9125,                 4.2323,                 2.1809,                 2.1079,               0.001472,               0.001472,               0.001472
                     83,                 1.5465,                 3.0681,                 1.6945,                 1.5363,                0.63841,                 0.3411,                0.41659,                0.18375,                0.62972,                0.33341,                0.35285,                0.15239,                 1.9125,                 4.2323,                 2.1809,                 2.1079,              0.0014654,              0.0014654,              0.0014654
                     84,                 1.4749,                 2.6686,                 1.5437,                 1.4391,                0.62198,                0.43612,                0.51983,                0.22753,                0.61504,                0.42908,                 0.4216,                0.17853,                 1.8911,                 4.3777,                 2.3508,                 2.0594,              0.0014588,              0.0014588,              0.0014588
                     85,                 1.4092,                  2.657,                  1.497,                 1.4019,                0.37514,                0.59666,                0.49747,                0.23666,                0.53448,                0.43741,                0.41228,                0.18192,                 1.9222,                 4.4219,                 2.4093,                 2.0637,              0.0014522,              0.0014522,              0.0014522
